Group,Leucine,Isoleucine,Taurine
Drug,-0.200229439,-0.226292587,-0.24004533
Placebo,1.189023619,0.796815203,-1.524415206
Drug,-0.956460458,1.017099287,-0.241422374
Placebo,-0.638137583,0.220548263,0.227746757
Placebo,-0.355217328,-1.20068651,0.004065638
