adduct,mz,rt QE,name,Formula
M+H-H2O,135.0441,8.66,2-HYDROXYPHENYLACETIC ACID-water,C8H8O3
M+H,96.0444,3.09,2-HYDROXYPYRIDINE,C5H5NO
M+Na,118.0263,3.09,2-HYDROXYPYRIDINE+Na,C5H5NO
M+H-FA,73.0648,10.37,2-METHYLBUTANAL,C5H10O
M+H,246.17,8.1,2-METHYLBUTRYOYLCARNITINE,C12H23NO4
M+Na,268.1519,8.1,2-METHYLBUTRYOYLCARNITINE+Na,C12H23NO4
M+H,147.0652,7.68,2-METHYLGLUTARIC ACID,C6H10O4
M+Na,169.0471,7.68,2-METHYLGLUTARIC ACID+Na,C6H10O4
M+H-H2O,129.0546,7.68,2-METHYLGLUTARIC ACID-H2O,C6H10O4
M+H,131.0339,5.86,2-METHYLMALEATE,C5H6O4
M+H,131.0339,3.59,2-METHYLMALEATE,C5H6O4
M+Na,153.0158,5.86,2-METHYLMALEATE+Na,C5H6O4
M+Na,153.0158,3.59,2-METHYLMALEATE+Na,C5H6O4
M+H-H2O,113.0233,5.86,2-METHYLMALEATE-H2O,C5H6O4
M+H-H2O,113.0233,3.59,2-METHYLMALEATE-H2O,C5H6O4
M+H,152.07045,7.841,2-PHENYLGLYCINE,C8H9NO2
M+H,174.055,7.66,2-QUINOLINECARBOXYLIC ACID,C10H7NO2
M+H,167.0703,9.42,3-(2-HYDROXYPHENYL)PROPANOATE,C9H10O3
M+H-H2O,149.0597,9.42,3-(2-HYDROXYPHENYL)PROPANOATE-H2O,C9H10O3
M+H-H2O,163.039,7.64,3-(4-HYDROXYPHENYL)PYRUVATE-H2O,C9H8O4
M+H,167.0703,6.107,3-(HYDROXYPHENYL) PROPIONATE,C9H10O3
M+H,651.7973,9.65,"3,3,5-TRIIODOTHYRONINE",C15H12I3NO4
M+H,155.0339,7.27,"3,4-DIHYDROXYBENZOATE",C7H6O4
M+H,198.0761,2.28,"3,4-DIHYDROXY-L-PHENYLALANINE",C9H11NO4
M+Na,220.058,2.28,"3,4-DIHYDROXY-L-PHENYLALANINE+Na",C9H11NO4
M+H-NH3,181.0495,2.28,"3,4-DIHYDROXY-L-PHENYLALANINE-NH3",C9H11NO4
M+Na,193.0471,2.23,"3,4-DIHYDROXYPHENYL GLYCOL+Na",C8H10O4
M+H-H2O,153.0546,2.23,"3,4-DIHYDROXYPHENYL GLYCOL-H2O",C8H10O4
M+H-H2O,151.039,3.05,"3,4-DIHYDROXYPHENYLACETATE-H2O",C8H8O4
M+H,151.07521,8.563,"3,4-DIMETHYLBENZOATE",C9H10O2
M+H,330.0598,6.1,"3',5'-CYCLIC AMP",C10H12N5O6P
M+Na,352.0417,6.1,"3',5'-CYCLIC AMP+Na",C10H12N5O6P
M+H,525.9007,9.75,"3,5-DIIODO-L-THYRONINE",C15H13I2NO4
M+H,433.8745,8.35,"3,5-DIIODO-L-TYROSINE",C9H9I2NO3
M+H,219.1745,14.332,"3,5-DI-TERT-bUTYLBENZALDEHYDE",C15H22O
M+H-H2O,349.2373,10.11,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O",C21H34O5
M+H-H2O,349.2373,9.65,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O",C21H34O5
M+H-H2O,375.2894,12.41,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE-H2O",C24H40O4
M+H,154.0499,1.68,3-AMINO-4-HYDROXYBENZOIC ACID,C7H7NO3
M+H,154.0499,1.98,3-AMINO-5-HYDROXYBENZOIC ACID,C7H7NO3
M+H,104.0706,0.9,3-AMINOISOBUTANOATE,C4H9NO2
M+Na,126.0525,0.9,3-AMINOISOBUTANOATE+Na,C4H9NO2
M+H-H2O,86.06,0.9,3-AMINOISOBUTANOATE-H2O,C4H9NO2
M+H,324.0591,1.52,3'-CMP,C9H14N3O8P
M+Na,346.0411,1.52,3'-CMP+Na,C9H14N3O8P
M+H,173.0444,1.37,3-DEHYDROSHIKIMATE,C7H8O5
M+Na,195.0264,1.37,3-DEHYDROSHIKIMATE+Na,C7H8O5
M+H-H2O,155.0339,1.37,3-DEHYDROSHIKIMATE-H2O,C7H8O5
M+H,163.0601,3.01,3-HYDROXY-3-METHYLGLUTARATE,C6H10O5
M+Na,185.042,3.01,3-HYDROXY-3-METHYLGLUTARATE+Na,C6H10O5
